sprintDayCount,regressionTestDayCount,dayStartTime,programmerCount,testerCount,maxInitialProgrammerWorkTimeInHours,maxFullRunTesterWorkTimeInHours,maxQaAutomationTime,averagePassBackCount,checkRefinement,programmerToTesterRatio,peekProgTimeToPeekCheckTimeRatio,peekCheckTimeToPeekAutomationTimeRatio,peekProgTimeToPeekAutomationTimeRatio,percentageOfSprintTicketsDone,percentageOfSprintTicketsAutomated,percentageOfProgrammerTimeSpentProgramming,percentageOfProgrammingTimeForProductiveProgramming,percentageOfProgrammingTimeForRedundantProgramming,percentageOfProgrammingTimeForFluffProgramming,percentageOfProgrammingTimeForNonFluffProgramming,percentageOfProgrammerTimeSpentCodeReview,percentageOfCodeReviewTimeForProductiveCodeReview,percentageOfCodeReviewTimeForRedundantCodeReview,percentageOfCodeReviewTimeForFluffCodeReview,percentageOfCodeReviewTimeForNonFluffCodeReview,percentageOfTesterTimeSpentChecking,percentageOfCheckingTimeForProductiveChecking,percentageOfCheckingTimeForRedundantChecking,percentageOfCheckingTimeForFluffChecking,percentageOfCheckingTimeForNonFluffChecking,projectedDeadlockAsSprintCount,projectedDeadlockAsNumberOfDays,growthRate
20,4,10.5,2,1,7.5,15,17.5,1.5,0.7,2:1,7.5:15,6:7,3:7,0.13114754098360656,0,0.5398871527777778,0.8082643299300587,0.19173567006994133,0.7970094059007958,0.2029905940992041,0.079296875,0.2534209085933224,0.7465790914066777,0.776135741652983,0.22386425834701698,0.45902777777777776,0.4033661119515885,0.5966338880484114,0.13899394856278366,0.8610060514372163,80,1600,0.12840393343419063
15,2,9.5,3,2,17.5,2.5,12.5,3,0.3,3:2,7:1,1:5,7:5,0.42105263157894735,0.3684210526315789,0.6235294117647059,0.664308176100629,0.5876572327044025,0.5245020964360587,0.4754979035639413,0.040236928104575166,0.20304568527918782,0.7969543147208121,0.44771573604060916,0.5522842639593909,0.1772671568627451,0.2250259246456965,0.7749740753543035,0.4123746975458002,0.5876253024541997,251,3765,0.02700697432853539
20,4,9.75,3,2,12.5,15,5,3,0.8,3:2,12.5:15,3:1,12.5:5,0.05454545454545454,0,0.5932581018518519,0.6576598546554163,0.34234014534458374,0.8468516802419158,0.15314831975808418,0.05483217592592592,0.11451187335092348,0.8854881266490765,0.9108179419525066,0.0891820580474934,0.4694878472222222,0.07737820097993899,0.922621799020061,0.7335675325875936,0.2664324674124064,394,7880,0.0483498197282056
15,3,10.25,5,4,15,15,15,2.5,0.2,5:4,1:1,1:1,1:1,0.16,0,0.6081481481481481,0.5093255176613886,0.49067448233861144,0.7756927527405603,0.2243072472594397,0.04798611111111111,0.1789676796912687,0.8210323203087313,0.783405692233478,0.21659430776652194,0.4619212962962963,0.1621147582059634,0.8378852417940366,0.6642445502380355,0.3357554497619644,19,285,0.25482335254322225
10,3,8.5,2,1,10,12.5,7.5,3,0.6,2:1,4:5,5:3,4:3,0.034482758620689655,0,0.5451923076923076,0.7150205761316872,0.28497942386831276,0.9722222222222222,0.027777777777777776,0.06778846153846153,0.08156028368794327,0.9184397163120568,0.8368794326241135,0.16312056737588654,0.3642628205128205,0.07391113066432028,0.9260888693356797,0.7782666080070392,0.22173339199296085,57,570,0.10690717113946327
15,1,10.75,2,2,7.5,17.5,7.5,1,0.3,1:1,3:7,7:3,1:1,0.3076923076923077,0,0.5311848958333333,0.7573232013727172,0.24267679862728275,0.6415001838460596,0.35849981615394044,0.070703125,0.5156537753222836,0.4843462246777164,0.7513812154696132,0.24861878453038674,0.6134114583333333,0.5075355550838463,0.4924644449161537,0.41954998938654214,0.5804500106134579,10,150,0.4612608787943112
10,3,9.5,4,1,5,17.5,5,2,0.6,4:1,2:7,17.5:5,1:1,0,0,0.4842147435897436,0.9595399635942413,0.04046003640575873,1,0,0.08842147435897436,0.05301314000906208,0.9469868599909379,1,0,0.37916666666666665,0.06339814032121724,0.9366018596787827,1,0,,,
15,6,10.75,3,2,17.5,10,12.5,3.5,0.6,3:2,17.5:10,4:5,7:5,0.13333333333333333,0.03333333333333333,0.6256944444444444,0.5463241900533798,0.4688969927593679,0.8579356270810211,0.14206437291897892,0.04212962962962963,0.14207221350078492,0.8579277864992151,0.7841444270015698,0.21585557299843014,0.2698412698412698,0.1264705882352941,0.8735294117647059,0.6908088235294118,0.30919117647058825,89,1335,0.10020949720670391
20,4,9.5,6,4,12.5,5,12.5,2.5,0.7,3:2,12.5:5,2:5,1:1,0.4383561643835616,0.0958904109589041,0.5932725694444444,0.526983197990587,0.5826566196015315,0.5286170653790816,0.4713829346209184,0.05167824074074074,0.25027995520716684,0.7497200447928332,0.4941209406494961,0.5058790593505039,0.3426432291666667,0.24859079105706505,0.751409208942935,0.29020203939451517,0.7097979606054848,323,6460,0.05624845945279763
20,6,10.5,3,2,15,15,15,2.5,0.3,3:2,1:1,1:1,1:1,0.08695652173913043,0,0.6402510683760684,0.6438613324433691,0.35613866755663093,0.9183179675441158,0.0816820324558842,0.034748931623931625,0.18447348193697155,0.8155265180630284,0.8431975403535742,0.15680245964642583,0.37908653846153845,0.15398435848657788,0.8460156415134221,0.7354681885436483,0.26453181145635174,23,460,0.21390826463749735
20,9,8,3,2,10,10,12.5,2.5,0.7,3:2,1:1,4:5,4:5,0.031914893617021274,0,0.5728927203065134,0.7726550744022739,0.22734492559772612,0.9038204313659923,0.09617956863400769,0.06175766283524904,0.1264055835595192,0.8735944164404809,0.9255525397440869,0.07444746025591314,0.2570402298850575,0.07560089435438792,0.9243991056456121,0.7058412520961431,0.2941587479038569,184,3680,0.06875349357182783
10,1,10.75,4,2,15,17.5,15,1,0.8,2:1,6:7,17.5:15,1:1,0.2,0,0.6043560606060606,0.8104826073331244,0.1895173926668756,0.8509088060169226,0.1490911939830774,0.04114583333333333,0.5650172612197929,0.43498273878020716,0.7675489067894131,0.23245109321058688,0.5525568181818182,0.37240788346186804,0.627592116538132,0.6210796915167095,0.3789203084832905,117,1170,0.13093401885175665
10,4,8.75,6,2,17.5,7.5,20,2,0.2,3:1,7:3,7.5:20,17.5:20,0.04081632653061224,0,0.6318700396825396,0.7323468226243278,0.2676531773756722,0.958197589983122,0.04180241001687797,0.03162202380952381,0.1403921568627451,0.8596078431372549,0.9545098039215686,0.04549019607843137,0.27760416666666665,0.1015813454837845,0.8984186545162155,0.8491021173948003,0.15089788260519968,16,160,0.2578397212543554
15,5,9.5,5,3,7.5,15,15,1,0.1,5:3,7.5:15,1:1,7.5:15,0.1056338028169014,0,0.5341458333333333,0.8691446624283319,0.13085533757166817,0.8408284254456102,0.1591715745543898,0.07641666666666666,0.44656488549618323,0.5534351145038168,0.8446019629225736,0.1553980370774264,0.34565972222222224,0.5313912606730287,0.4686087393269714,0.22440984429934707,0.7755901557006529,6,90,0.5305876443997991
10,2,9,4,3,5,2.5,7.5,3.5,0.2,4:3,2:1,1:3,2:3,0.2894736842105263,0.10526315789473684,0.44253472222222223,0.5366810513927031,0.5961161239701844,0.5881718320910161,0.4118281679089839,0.11853298611111111,0.174295129989015,0.825704870010985,0.4155986818015379,0.5844013181984621,0.3005787037037037,0.1476703889102811,0.8523296110897189,0.42510589141316907,0.574894108586831,51,510,0.11881490531459987
20,5,8,3,1,10,5,15,2.5,0.6,3:1,2:1,1:3,2:3,0.17647058823529413,0,0.5730277777777778,0.7139463861554123,0.2860536138445877,0.6227155945513597,0.3772844054486403,0.06325,0.1712779973649539,0.8287220026350461,0.6354852876592006,0.3645147123407993,0.37116666666666664,0.2862595419847328,0.7137404580152672,0.15334530758868434,0.8466546924113156,73,1460,0.13560844185002247
15,2,11,5,2,20,17.5,12.5,2,0.3,5:2,8:7,7:5,8:5,0.09523809523809523,0,0.6592892156862745,0.6822186698390275,0.31778133016097254,0.8770586267147478,0.12294137328525225,0.025245098039215687,0.1825242718446602,0.8174757281553398,0.8854368932038835,0.1145631067961165,0.5478553921568627,0.1768258584051001,0.8231741415948999,0.7249748350296388,0.2750251649703613,20,300,0.23979420646460128
10,4,11,4,2,5,7.5,17.5,3,0.4,2:1,2:3,3:7,2:7,0.08235294117647059,0,0.49174107142857143,0.8218338629142079,0.1781661370857921,0.8824330458465729,0.11756695415342715,0.09367559523809524,0.06632247815726768,0.9336775218427323,0.8792692613185068,0.12073073868149325,0.2798363095238095,0.23291677745280512,0.7670832225471949,0.5168838074980059,0.48311619250199417,26,260,0.21297527253390056
10,2,9.25,5,5,15,5,15,2,0.8,1:1,3:1,1:3,1:1,0.4074074074074074,0.2962962962962963,0.6135763888888889,0.8115556561598098,0.5042725369249053,0.6287137117310848,0.3712862882689152,0.03972222222222222,0.34353146853146854,0.6564685314685315,0.6302447552447552,0.36975524475524474,0.1532638888888889,0.29021295876755776,0.7097870412324422,0.4338468509288627,0.5661531490711373,1374,13740,0.016608304152076037
20,1,8.75,5,2,12.5,5,15,1.5,0.5,5:2,12.5:5,1:3,12.5:15,0.5535714285714286,0.017857142857142856,0.6088888888888889,0.4914298748696559,0.5337265380604796,0.39670229405630864,0.6032977059436914,0.045654761904761906,0.4254671881790526,0.5745328118209474,0.40634506736201653,0.5936549326379835,0.5494543650793651,0.35478920285275795,0.645210797147242,0.24790105624266498,0.752098943757335,48,960,0.20094522744535404
20,4,8.25,5,5,10,15,20,0.5,0.6,1:1,2:3,3:4,1:2,0.48120300751879697,0,0.5657118055555556,0.8086235998158662,0.1913764001841338,0.48215436550560076,0.5178456344943992,0.066875,0.6863966770508827,0.31360332294911736,0.4698857736240914,0.5301142263759087,0.46427083333333335,0.6756787076508862,0.3243212923491138,0.10952808316505871,0.8904719168349413,40,800,0.2821030588587241
15,3,10.5,4,2,7.5,12.5,20,2,0.2,2:1,3:5,12.5:20,7.5:20,0.13095238095238096,0,0.5495081018518518,0.7312937707335053,0.2687062292664947,0.7163919751461219,0.28360802485387815,0.0669849537037037,0.15766738660907129,0.8423326133909287,0.7313174946004319,0.26868250539956806,0.4491898148148148,0.27531564029889205,0.724684359701108,0.23602164390620975,0.7639783560937903,16,240,0.2633341922185004
